Date,Rank,Category,Title,Author,Week on List,Description
2021-07-18,5,Paperback Nonfiction,Sapiens,Yuval Noah Harari,151,How Homo sapiens became Earth’s dominant species.
2021-07-18,1,"Advice, How-To & Miscellaneous",Atomic Habits,James Clear,84,
2021-07-18,2,"Advice, How-To & Miscellaneous","The Boy, The Mole, The Fox And The Horse",Charlie Mackesy,83,
2021-07-18,3,"Advice, How-To & Miscellaneous",The Gifts Of Imperfection,Brené Brown,82,
2021-07-18,4,"Advice, How-To & Miscellaneous",World Travel,Anthony Bourdain and Laurie Woolever,11,
2021-07-18,5,"Advice, How-To & Miscellaneous",The Subtle Art Of Not Giving A F*Ck,Mark Manson,209,
2021-07-18,1,Children’s Middle Grade Hardcover,"Ali Cross: Like Father, Like Son",James Patterson,1,"Ali investigates the shooting of new friend, Zoe."
2021-07-18,2,Children’s Middle Grade Hardcover,Wonder,R.J. Palacio,303,A boy with a facial deformity starts school.
2021-07-18,3,Children’s Middle Grade Hardcover,Refugee,Alan Gratz,137,Three children in three different conflicts look for safe haven.
2021-07-18,4,Children’s Middle Grade Hardcover,Star Wars: The High Republic: Race To Crashpoint Tower,Daniel Jose Older,1,Ram must thwart the plans of the Nihil's surprise attack on the Republic Fair.
2021-07-18,5,Children’s Middle Grade Hardcover,Amari And The Night Brothers,B.B. Alston,22,Amari Peters competes for a spot at the Bureau of Supernatural Affairs.
2021-07-18,1,Children’s Picture Books,"Time For School, Little Blue Truck",Alice Schertle. Illustrated by Jill McElmurry,2,Blue gives a friend a ride to school.
2021-07-18,2,Children’s Picture Books,Llama Llama Meets The Babysitter,Anna Dewdney and Reed Duncan. Illustrated by JT Morrow,1,Llama Llama is nervous about a new babysitter.
2021-07-18,3,Children’s Picture Books,What Is God Like?,Rachel Held Evans and Matthew Paul Turner. Illustrated by Ying Hui Tan,3,Exploring the attributes of God.
2021-07-18,4,Children’s Picture Books,Dr. Fauci,Kate Messner. Illustrated by Alexandra Bye,1,A biography of the chief medical adviser to the president.
2021-07-18,5,Children’s Picture Books,The Wonderful Things You Will Be,Emily Winfield Martin,269,A celebration of future possibilities.
2021-07-18,1,Children’s Series,Harry Potter,J.K. Rowling,641,A wizard hones his conjuring skills in the service of fighting evil.
2021-07-18,2,Children’s Series,Diary Of A Wimpy Kid,Jeff Kinney,642,The travails and challenges of adolescence.
2021-07-18,3,Children’s Series,Shadow And Bone Trilogy,Leigh Bardugo,17,"The basis of the Netflix series; previously titled ""The Grisha Trilogy."""
2021-07-18,4,Children’s Series,Awesome Friendly Kid,Jeff Kinney,16,Rowley Jefferson chronicles his life story and adventures.
2021-07-18,5,Children’s Series,Percy Jackson & The Olympians,Rick Riordan,578,A boy battles mythological monsters.
2021-07-18,1,Young Adult Hardcover,One Of Us Is Lying,Karen M. McManus,179,"For five students, a detour into detention ends in murder."
2021-07-18,2,Young Adult Hardcover,The Betrayed,Kiera Cass,1,"In this sequel to ""The Betrothed,"" Hollis flees the country after her husband is killed."
2021-07-18,3,Young Adult Hardcover,Stamped,Jason Reynolds and Ibram X. Kendi,67,An exploration of racism and antiracism in America.
2021-07-18,4,Young Adult Hardcover,Realm Breaker,Victoria Aveyard,9,A small band of misfits attempt to save Allward.
2021-07-18,5,Young Adult Hardcover,The Hate U Give,Angie Thomas,221,A 16-year-old girl sees a police officer kill her friend.
2021-07-11,1,Combined Print & E-Book Fiction,The Last Thing He Told Me,Laura Dave,8,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.
2021-07-11,2,Combined Print & E-Book Fiction,The President'S Daughter,Bill Clinton and James Patterson,3,"Matthew Keating, a past president and former Navy SEAL, goes on his own to find his abducted teenage daughter."
2021-07-11,3,Combined Print & E-Book Fiction,Malibu Rising,Taylor Jenkins Reid,4,An epic party has serious outcomes for four famous siblings.
2021-07-11,4,Combined Print & E-Book Fiction,Where The Crawdads Sing,Delia Owens,136,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
2021-07-11,5,Combined Print & E-Book Fiction,People We Meet On Vacation,Emily Henry,7,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.
2021-07-11,1,Combined Print & E-Book Nonfiction,The Body Keeps The Score,Bessel van der Kolk,44,"How trauma affects the body and mind, and innovative treatments for recovery."
2021-07-11,2,Combined Print & E-Book Nonfiction,Killing The Mob,Bill O'Reilly and Martin Dugard,8,The 10th book in the conservative commentator’s Killing series looks at organized crime in the United States during the 20th century.
2021-07-11,3,Combined Print & E-Book Nonfiction,The Bomber Mafia,Malcolm Gladwell,9,A look at the key players and outcomes of precision bombing during World War II.
2021-07-11,4,Combined Print & E-Book Nonfiction,Greenlights,Matthew McConaughey,36,The Academy Award-winning actor shares snippets from the diaries he kept over the last 35 years.
2021-07-11,5,Combined Print & E-Book Nonfiction,Untamed,Glennon Doyle,68,The activist and public speaker describes her journey of listening to her inner voice.
2021-07-11,1,Hardcover Fiction,The President'S Daughter,Bill Clinton and James Patterson,3,"Matthew Keating, a past president and former Navy SEAL, goes on his own to find his abducted teenage daughter."
2021-07-11,2,Hardcover Fiction,The Last Thing He Told Me,Laura Dave,8,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.
2021-07-11,3,Hardcover Fiction,Malibu Rising,Taylor Jenkins Reid,4,An epic party has serious outcomes for four famous siblings.
2021-07-11,4,Hardcover Fiction,The Midnight Library,Matt Haig,30,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.
2021-07-11,5,Hardcover Fiction,Golden Girl,Elin Hilderbrand,4,A Nantucket novelist gets one final summer to watch what happens from the great beyond.
2021-07-11,1,Hardcover Nonfiction,Killing The Mob,Bill O'Reilly and Martin Dugard,8,The 10th book in the conservative commentator’s Killing series looks at organized crime in the United States during the 20th century.
2021-07-11,2,Hardcover Nonfiction,The Bomber Mafia,Malcolm Gladwell,9,A look at the key players and outcomes of precision bombing during World War II.
2021-07-11,3,Hardcover Nonfiction,Greenlights,Matthew McConaughey,36,The Academy Award-winning actor shares snippets from the diaries he kept over the last 35 years.
2021-07-11,4,Hardcover Nonfiction,Untamed,Glennon Doyle,68,The activist and public speaker describes her journey of listening to her inner voice.
2021-07-11,5,Hardcover Nonfiction,Caste,Isabel Wilkerson,47,The Pulitzer Prize-winning journalist examines aspects of caste systems across civilizations and reveals a rigid hierarchy in America today.
2021-07-11,1,Paperback Trade Fiction,Where The Crawdads Sing,Delia Owens,13,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
2021-07-11,2,Paperback Trade Fiction,People We Meet On Vacation,Emily Henry,7,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.
2021-07-11,3,Paperback Trade Fiction,The Song Of Achilles,Madeline Miller,36,A reimagining of Homer’s “Iliad” that is narrated by Achilles' companion Patroclus.
2021-07-11,4,Paperback Trade Fiction,It Ends With Us,Colleen Hoover,8,A battered wife raised in a violent home attempts to halt the cycle of abuse.
2021-07-11,5,Paperback Trade Fiction,The Seven Husbands Of Evelyn Hugo,Taylor Jenkins Reid,16,A movie icon recounts stories of her loves and career to a struggling magazine writer.
2021-07-11,1,Paperback Nonfiction,The Body Keeps The Score,Bessel van der Kolk,140,"How trauma affects the body and mind, and innovative treatments for recovery."
2021-07-11,2,Paperback Nonfiction,Braiding Sweetgrass,Robin Wall Kimmerer,63,A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.
2021-07-11,3,Paperback Nonfiction,Born A Crime,Trevor Noah,124,A memoir about growing up biracial in apartheid South Africa by the host of “The Daily Show.”
2021-07-11,4,Paperback Nonfiction,Sapiens,Yuval Noah Harari,150,How Homo sapiens became Earth’s dominant species.
2021-07-11,5,Paperback Nonfiction,White Fragility,Robin DiAngelo,147,Historical and cultural analyses on what causes defensive moves by white people and how this inhibits cross-racial dialogue.
2021-07-11,1,"Advice, How-To & Miscellaneous",Atomic Habits,James Clear,83,
2021-07-11,2,"Advice, How-To & Miscellaneous","The Boy, The Mole, The Fox And The Horse",Charlie Mackesy,82,
2021-07-11,3,"Advice, How-To & Miscellaneous",World Travel,Anthony Bourdain and Laurie Woolever,10,
2021-07-11,4,"Advice, How-To & Miscellaneous",The Subtle Art Of Not Giving A F*Ck,Mark Manson,208,
2021-07-11,5,"Advice, How-To & Miscellaneous",The Gifts Of Imperfection,Brené Brown,81,
2021-07-11,1,Children’s Middle Grade Hardcover,Wonder,R.J. Palacio,302,A boy with a facial deformity starts school.
2021-07-11,2,Children’s Middle Grade Hardcover,Refugee,Alan Gratz,136,Three children in three different conflicts look for safe haven.
2021-07-11,3,Children’s Middle Grade Hardcover,Stamped (For Kids),"Jason Reynolds, Ibram X. Kendi and Sonja Cherry-Paul",7,"An adaptation of ""Stamped"" for younger readers."
2021-07-11,4,Children’s Middle Grade Hardcover,"Dude Perfect 101 Tricks, Tips, And Cool Stuff", Dude Perfect with Travis Thrasher,1,Step-by-step instructions to do your own trick shots.
2021-07-11,5,Children’s Middle Grade Hardcover,The Ickabog,J.K. Rowling,33,A fearsome monster threatens the kingdom of Cornucopia.
2021-07-11,1,Children’s Picture Books,"Time For School, Little Blue Truck",Alice Schertle. Illustrated by Jill McElmurry,1,Blue gives a friend a ride to school.
2021-07-11,2,Children’s Picture Books,The Bench,"Meghan, the Duchess of Sussex. Illustrated by Christian Robinson",3,The special relationship between father and son.
2021-07-11,3,Children’s Picture Books,What Is God Like?,Rachel Held Evans and Matthew Paul Turner. Illustrated by Ying Hui Tan,2,Exploring the attributes of God.
2021-07-11,4,Children’s Picture Books,The Wonderful Things You Will Be,Emily Winfield Martin,268,A celebration of future possibilities.
2021-07-11,5,Children’s Picture Books,Dragons Love Tacos,Adam Rubin. Illustrated by Daniel Salmieri,314,What to serve your dragon-guests.
2021-07-11,1,Children’s Series,Shadow And Bone Trilogy,Leigh Bardugo,16,"The basis of the Netflix series; previously titled ""The Grisha Trilogy."""
2021-07-11,2,Children’s Series,Diary Of A Wimpy Kid,Jeff Kinney,641,The travails and challenges of adolescence.
2021-07-11,3,Children’s Series,Harry Potter,J.K. Rowling,640,A wizard hones his conjuring skills in the service of fighting evil.
2021-07-11,4,Children’s Series,Percy Jackson & The Olympians,Rick Riordan,577,A boy battles mythological monsters.
2021-07-11,5,Children’s Series,Awesome Friendly Kid,Jeff Kinney,15,Rowley Jefferson chronicles his life story and adventures.
2021-07-11,1,Young Adult Hardcover,The Hate U Give,Angie Thomas,220,A 16-year-old girl sees a police officer kill her friend.
2021-07-11,2,Young Adult Hardcover,One Of Us Is Lying,Karen M. McManus,178,"For five students, a detour into detention ends in murder."
2021-07-11,3,Young Adult Hardcover,Firekeeper'S Daughter,Angeline Boulley,14,Daunis investigates a deadly new drug being distributed in her tribal community.
2021-07-11,4,Young Adult Hardcover,Ace Of Spades,Faridah Abike-Iyimide,4,An anonymous texter known as Aces reveals secrets about an elite private school’s only two Black students.
2021-07-11,5,Young Adult Hardcover,Blackout,Dhonielle Clayton. et al,1,A collection of interconnected stories of Black teen love.
2021-07-04,1,Combined Print & E-Book Fiction,The President'S Daughter,Bill Clinton and James Patterson,2,"Matthew Keating, a past president and former Navy SEAL, goes on his own to find his abducted teenage daughter."
2021-07-04,2,Combined Print & E-Book Fiction,The Maidens,Alex Michaelides,1,A therapist suspects a Greek tragedy professor at Cambridge University of committing murder.
2021-07-04,3,Combined Print & E-Book Fiction,The Last Thing He Told Me,Laura Dave,7,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.
2021-07-04,4,Combined Print & E-Book Fiction,Malibu Rising,Taylor Jenkins Reid,3,"Four famous siblings throw an epic party to celebrate the end of summer. But over the course of 24 hours, their lives will change forever."
2021-07-04,5,Combined Print & E-Book Fiction,Golden Girl,Elin Hilderbrand,3,A Nantucket novelist gets one final summer to watch what happens from the great beyond.
2021-07-04,1,Combined Print & E-Book Nonfiction,Killing The Mob,Bill O'Reilly and Martin Dugard,7,The 10th book in the conservative commentator’s Killing series looks at organized crime in the United States during the 20th century.
2021-07-04,2,Combined Print & E-Book Nonfiction,Live Your Life,Amanda Kloots with Anna Kloots,1,"The wife of the late Broadway star Nick Cordero recounts his battle with Covid-19 and the hope she found in her infant son, Elvis."
2021-07-04,3,Combined Print & E-Book Nonfiction,The Body Keeps The Score,Bessel van der Kolk,43,"How trauma affects the body and mind, and innovative treatments for recovery."
2021-07-04,4,Combined Print & E-Book Nonfiction,Greenlights,Matthew McConaughey,35,The Academy Award-winning actor shares snippets from the diaries he kept over the last 35 years.
2021-07-04,5,Combined Print & E-Book Nonfiction,The Bomber Mafia,Malcolm Gladwell,8,A look at the key players and outcomes of precision bombing during World War II.
2021-07-04,1,Hardcover Fiction,The President'S Daughter,Bill Clinton and James Patterson,2,"Matthew Keating, a past president and former Navy SEAL, goes on his own to find his abducted teenage daughter."
2021-07-04,2,Hardcover Fiction,The Maidens,Alex Michaelides,1,A therapist suspects a Greek tragedy professor at Cambridge University of committing murder.
2021-07-04,3,Hardcover Fiction,The Last Thing He Told Me,Laura Dave,7,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.
2021-07-04,4,Hardcover Fiction,Sooley,John Grisham,8,Samuel Sooleymon receives a basketball scholarship to North Carolina Central and determines to bring his family over from a civil war-ravaged South Sudan.
2021-07-04,5,Hardcover Fiction,Golden Girl,Elin Hilderbrand,3,A Nantucket novelist gets one final summer to watch what happens from the great beyond.
2021-07-04,1,Hardcover Nonfiction,Killing The Mob,Bill O'Reilly and Martin Dugard,7,The 10th book in the conservative commentator’s Killing series looks at organized crime in the United States during the 20th century.
2021-07-04,2,Hardcover Nonfiction,Live Your Life,Amanda Kloots with Anna Kloots,1,"The wife of the late Broadway star Nick Cordero recounts his battle with Covid-19 and the hope she found in her infant son, Elvis."
2021-07-04,3,Hardcover Nonfiction,The Bomber Mafia,Malcolm Gladwell,8,A look at the key players and outcomes of precision bombing during World War II.
2021-07-04,4,Hardcover Nonfiction,Greenlights,Matthew McConaughey,35,The Academy Award-winning actor shares snippets from the diaries he kept over the last 35 years.
2021-07-04,5,Hardcover Nonfiction,What Happened To You?,Bruce D. Perry and Oprah Winfrey,8,An approach to dealing with trauma that shifts an essential question used to investigate it.
2021-07-04,1,Paperback Trade Fiction,Where The Crawdads Sing,Delia Owens,12,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
2021-07-04,2,Paperback Trade Fiction,The Song Of Achilles,Madeline Miller,35,A reimagining of Homer’s “Iliad” that is narrated by Achilles' companion Patroclus.
2021-07-04,3,Paperback Trade Fiction,People We Meet On Vacation,Emily Henry,6,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.
2021-07-04,4,Paperback Trade Fiction,The Silent Patient,Alex Michaelides,7,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
2021-07-04,5,Paperback Trade Fiction,It Ends With Us,Colleen Hoover,7,A battered wife raised in a violent home attempts to halt the cycle of abuse.
2021-07-04,1,Paperback Nonfiction,The Body Keeps The Score,Bessel van der Kolk,139,"How trauma affects the body and mind, and innovative treatments for recovery."
2021-07-04,2,Paperback Nonfiction,Born A Crime,Trevor Noah,123,A memoir about growing up biracial in apartheid South Africa by the host of “The Daily Show.”
2021-07-04,3,Paperback Nonfiction,Braiding Sweetgrass,Robin Wall Kimmerer,62,A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.
2021-07-04,4,Paperback Nonfiction,Sapiens,Yuval Noah Harari,149,How Homo sapiens became Earth’s dominant species.
2021-07-04,5,Paperback Nonfiction,White Fragility,Robin DiAngelo,146,Historical and cultural analyses on what causes defensive moves by white people and how this inhibits cross-racial dialogue.
2021-07-04,1,"Advice, How-To & Miscellaneous","The Boy, The Mole, The Fox And The Horse",Charlie Mackesy,81,
2021-07-04,2,"Advice, How-To & Miscellaneous",Atomic Habits,James Clear,82,
2021-07-04,3,"Advice, How-To & Miscellaneous",World Travel,Anthony Bourdain and Laurie Woolever,9,
2021-07-04,4,"Advice, How-To & Miscellaneous",The Plant-Based Athlete,Matt Frazier and Robert Cheeke with Rachel Holtzman,1,
2021-07-04,5,"Advice, How-To & Miscellaneous",The Women Of The Bible Speak,Shannon Bream,12,
2021-07-04,1,Children’s Middle Grade Hardcover,Refugee,Alan Gratz,135,Three children in three different conflicts look for safe haven.
2021-07-04,2,Children’s Middle Grade Hardcover,The Islanders,Mary Alice Monroe with Angela May,1,"Jake spends the summer on Dewees Island, S.C., with his grandmother."
2021-07-04,3,Children’s Middle Grade Hardcover,Wonder,R.J. Palacio,301,A boy with a facial deformity starts school.
2021-07-04,4,Children’s Middle Grade Hardcover,Stamped (For Kids),"Jason Reynolds, Ibram X. Kendi and Sonja Cherry-Paul",6,"An adaptation of ""Stamped"" for younger readers."
2021-07-04,5,Children’s Middle Grade Hardcover,The Ickabog,J.K. Rowling,32,A fearsome monster threatens the kingdom of Cornucopia.
2021-07-04,1,Children’s Picture Books,What Is God Like?,Rachel Held Evans and Matthew Paul Turner. Illustrated by Ying Hui Tan,1,Exploring the attributes of God.
2021-07-04,2,Children’s Picture Books,I Love Dad With The Very Hungry Caterpillar,Eric Carle,18,Celebrating dad with help from that insatiable insect.
2021-07-04,3,Children’s Picture Books,Why A Daughter Needs A Dad,Gregory E. Lang. Illustrated by Sydney Hanson,4,A father's love for his daughter.
2021-07-04,4,Children’s Picture Books,The Bench,"Meghan, the Duchess of Sussex. Illustrated by Christian Robinson",2,The special relationship between father and son.
2021-07-04,5,Children’s Picture Books,The Wonderful Things You Will Be,Emily Winfield Martin,267,A celebration of future possibilities.
2021-07-04,1,Children’s Series,Shadow And Bone Trilogy,Leigh Bardugo,15,"The basis of the Netflix series; previously titled ""The Grisha Trilogy."""
2021-07-04,2,Children’s Series,Diary Of A Wimpy Kid,Jeff Kinney,640,The travails and challenges of adolescence.
2021-07-04,3,Children’s Series,Harry Potter,J.K. Rowling,639,A wizard hones his conjuring skills in the service of fighting evil.
2021-07-04,4,Children’s Series,Awesome Friendly Kid,Jeff Kinney,14,Rowley Jefferson chronicles his life story and adventures.
2021-07-04,5,Children’s Series,Wings Of Fire,Tui T. Sutherland,119,Only the five dragonets of destiny can unite the seven warring dragon tribes.
2021-07-04,1,Young Adult Hardcover,One Of Us Is Lying,Karen M. McManus,177,"For five students, a detour into detention ends in murder."
2021-07-04,2,Young Adult Hardcover,Stamped,Jason Reynolds and Ibram X. Kendi,65,An exploration of racism and antiracism in America.
2021-07-04,3,Young Adult Hardcover,The Box In The Woods,Maureen Johnson,1, Stevie Bell goes undercover to crack a 1978 cold case at a summer camp.
2021-07-04,4,Young Adult Hardcover,Cosmic Queries,Neil DeGrasse Tyson with James Trefil,6,A collection of essays from the podcast and talk show StarTalk.
2021-07-04,5,Young Adult Hardcover,Realm Breaker,Victoria Aveyard,7,A small band of misfits attempt to save Allward.
2021-06-27,1,Combined Print & E-Book Fiction,The President'S Daughter,Bill Clinton and James Patterson,1,"Matthew Keating, a past president and former Navy SEAL, goes on his own to find his abducted teenage daughter."
2021-06-27,2,Combined Print & E-Book Fiction,Golden Girl,Elin Hilderbrand,2,A Nantucket novelist gets one final summer to watch what happens from the great beyond.
2021-06-27,3,Combined Print & E-Book Fiction,Tom Clancy: Target Acquired,Don Bentley,1,A cushy assignment to help the C.I.A. puts Jack Ryan Jr. in the sights of trained killers.
2021-06-27,4,Combined Print & E-Book Fiction,The Last Thing He Told Me,Laura Dave,6,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.
2021-06-27,5,Combined Print & E-Book Fiction,Malibu Rising,Taylor Jenkins Reid,2,"Four famous siblings throw an epic party to celebrate the end of summer. But over the course of 24 hours, their lives will change forever."
2021-06-27,1,Combined Print & E-Book Nonfiction,Killing The Mob,Bill O'Reilly and Martin Dugard,6,The 10th book in the conservative commentator’s Killing series looks at organized crime in the United States during the 20th century.
2021-06-27,2,Combined Print & E-Book Nonfiction,The Body Keeps The Score,Bessel van der Kolk,42,"How trauma affects the body and mind, and innovative treatments for recovery."
2021-06-27,3,Combined Print & E-Book Nonfiction,What Happened To You?,Bruce D. Perry and Oprah Winfrey,7,An approach to dealing with trauma that shifts an essential question used to investigate it.
2021-06-27,4,Combined Print & E-Book Nonfiction,How The Word Is Passed,Clint Smith,2,A staff writer at The Atlantic explores the legacy of slavery and its imprint on centuries of American history.
2021-06-27,5,Combined Print & E-Book Nonfiction,Greenlights,Matthew McConaughey,34,The Academy Award-winning actor shares snippets from the diaries he kept over the last 35 years.
2021-06-27,1,Hardcover Fiction,The President'S Daughter,Bill Clinton and James Patterson,1,"Matthew Keating, a past president and former Navy SEAL, goes on his own to find his abducted teenage daughter."
2021-06-27,2,Hardcover Fiction,Golden Girl,Elin Hilderbrand,2,A Nantucket novelist gets one final summer to watch what happens from the great beyond.
2021-06-27,3,Hardcover Fiction,Malibu Rising,Taylor Jenkins Reid,2,"Four famous siblings throw an epic party to celebrate the end of summer. But over the course of 24 hours, their lives will change forever."
2021-06-27,4,Hardcover Fiction,The Last Thing He Told Me,Laura Dave,6,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.
2021-06-27,5,Hardcover Fiction,Sooley,John Grisham,7,Samuel Sooleymon receives a basketball scholarship to North Carolina Central and determines to bring his family over from a civil war-ravaged South Sudan.
2021-06-27,1,Hardcover Nonfiction,Killing The Mob,Bill O'Reilly and Martin Dugard,6,The 10th book in the conservative commentator’s Killing series looks at organized crime in the United States during the 20th century.
2021-06-27,2,Hardcover Nonfiction,What Happened To You?,Bruce D. Perry and Oprah Winfrey,7,An approach to dealing with trauma that shifts an essential question used to investigate it.
2021-06-27,3,Hardcover Nonfiction,How The Word Is Passed,Clint Smith,2,A staff writer at The Atlantic explores the legacy of slavery and its imprint on centuries of American history.
2021-06-27,4,Hardcover Nonfiction,The Bomber Mafia,Malcolm Gladwell,7,A look at the key players and outcomes of precision bombing during World War II.
2021-06-27,5,Hardcover Nonfiction,Greenlights,Matthew McConaughey,34,The Academy Award-winning actor shares snippets from the diaries he kept over the last 35 years.
2021-06-27,1,Paperback Trade Fiction,Where The Crawdads Sing,Delia Owens,11,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
2021-06-27,2,Paperback Trade Fiction,Freed,E.L. James,2,The final chapter of the Fifty Shades as Told by Christian trilogy delves into the wedding between Christian Grey and Anastasia Steele.
2021-06-27,3,Paperback Trade Fiction,The Song Of Achilles,Madeline Miller,34,A reimagining of Homer’s “Iliad” that is narrated by Achilles' companion Patroclus.
2021-06-27,4,Paperback Trade Fiction,People We Meet On Vacation,Emily Henry,5,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.
2021-06-27,5,Paperback Trade Fiction,The Silent Patient,Alex Michaelides,6,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
2021-06-27,1,Paperback Nonfiction,The Body Keeps The Score,Bessel van der Kolk,138,"How trauma affects the body and mind, and innovative treatments for recovery."
